Acanthaceae,Aphelandra chamissoniana,Nees,FOD/
Acanthaceae,Aphelandra liboniana,Linden ex Hook.f.,FOD/
Acanthaceae,Aphelandra longiflora,(Lindl.) Profice,FOD/Restinga/
Acanthaceae,Aphelandra ornata,(Nees) T.Anderson,FOD/
Acanthaceae,Aphelandra schottiana,(Nees) Profice,FOD/Restinga/
Acanthaceae,Chamaeranthemum beyrichii,Nees,FOD/
Acanthaceae,Clistax brasiliensis,Mart.,FOD/
Acanthaceae,Dicliptera squarrosa,Nees,FOD/Restinga/
Acanthaceae,Dyschoriste hygrophiloides,(Nees) Kuntze,C.Limpo/FOD/
Acanthaceae,Dyschoriste lavandulacea,(Nees) Kuntze,C.Limpo/
Acanthaceae,Hygrophila costata,Nees & T. Nees,FOD/
Acanthaceae,Justicia axillaris,(Nees) Lindau,C.Limpo/
Acanthaceae,Justicia brasiliana,Roth,C.Limpo/FOD/
Acanthaceae,Justicia carnea,Lindl.,FOD/
Acanthaceae,Justicia comata,(L.) Lam.,FOD/
Acanthaceae,Justicia floribunda,(K.Koch) Wassh.,FOD/
Acanthaceae,Justicia kleinii,Wassh. & L.B.Sm.,FOD/
Acanthaceae,Justicia lythroides,(Pohl ex Nees) V.A.W.Graham,FOD/
Acanthaceae,Justicia oblonga,(Nees) Lindau,FOD/
Acanthaceae,Justicia pygmaea,Lindau,FOD/
Acanthaceae,Justicia schenckiana,Lindau,FOD/
Acanthaceae,Lepidagathis meridionalis,Kameyama,FOD/
Acanthaceae,Mendoncia puberula,Mart.,FOD/
Acanthaceae,Mendoncia velloziana,Mart.,FOD/
Acanthaceae,Pseuderanthemum riedelianum,(Nees) Radlk.,FOD/
Acanthaceae,Ruellia brevicaulis,(Nees) Lindau,C.Limpo/
Acanthaceae,Ruellia brevifolia,(Pohl) C.Ezcurra,FOD/
Acanthaceae,Ruellia bulbifera,Lindau,C.Limpo/
Acanthaceae,Ruellia elegans,Poir.,FOD/
Acanthaceae,Ruellia epallocaulos,Leonard ex C.Ezcurra & Wassh.,FOD/
Acanthaceae,Ruellia erythropus,(Nees) Lindau,FOD/
Acanthaceae,Ruellia geminiflora,Kunth,C.Limpo/
Acanthaceae,Ruellia kleinii,C.Ezcurra & Wassh.,FOD/
Acanthaceae,Ruellia multifolia,(Nees) Lindau,C.Limpo/
Acanthaceae,Ruellia reitzii,Wassh. & L.B.Sm.,FOD/
Acanthaceae,Ruellia solitaria,Vell.,FOD/Restinga/
Acanthaceae,Staurogyne alba,Braz & R.Monteiro,FOD/
